1715130284423,0,0,0,0
1715130284466,0,0,0,0
1715130284479,0,0,0,0
1715130284498,0,0,0,0
1715130284507,0,0,0,0
1715130284510,0,0,0,0
1715130284517,0,0,0,0
1715130284528,0,0,0,0
1715130284539,0,0,0,0
1715130284548,0,0,0,0
1715130284556,0,0,0,0
1715130284567,0,0,0,0
1715130284575,0,0,0,0
1715130284587,0,0,0,0
1715130284596,0,0,0,0
1715130284607,0,0,0,0
1715130284626,0,0,0,0
1715130284636,0,0,0,0
1715130284646,0,0,0,0
1715130284649,0,0,0,0
1715130284655,0,0,0,0
1715130284663,0,0,0,0
1715130284673,0,0,0,0
1715130284682,0,0,0,0
1715130284692,0,0,0,0
1715130284702,0,0,0,0
1715130284711,0,0,0,0
1715130284719,0,0,0,0
1715130284729,0,0,0,0
1715130284739,0,0,0,0
1715130284748,0,0,0,0
1715130284759,0,0,0,0
1715130284768,0,0,0,0
1715130284779,0,0,0,0
1715130284789,0,0,0,0
1715130284791,0,0,0,0
1715130284794,0,0,0,0
1715130284797,0,0,0,0
1715130284799,0,0,0,0
1715130284803,0,0,0,0
1715130284805,0,0,0,0
1715130284807,0,0,0,0
1715130284811,0,0,0,0
1715130284813,0,0,0,0
1715130284815,0,0,0,0
1715130284818,0,0,0,0
1715130284820,0,0,0,0
1715130284823,0,0,0,0
1715130284825,0,0,0,0
1715130284828,0,0,0,0
1715130284830,0,0,0,0
1715130284833,0,0,0,0
1715130284835,0,0,0,0
1715130284838,0,0,0,0
1715130284839,0,0,0,0
1715130284842,0,0,0,0
1715130284845,0,0,0,0
1715130284847,0,0,0,0
1715130284849,0,0,0,0
1715130284852,0,0,0,0
1715130284854,0,0,0,0
1715130284857,0,0,0,0
1715130284860,0,0,0,0
1715130284861,0,0,0,0
1715130284864,0,0,0,0
1715130284866,0,0,0,0
1715130284869,0,0,0,0
1715130284871,0,0,0,0
1715130284874,0,0,0,0
1715130284876,0,0,0,0
1715130284878,0,0,0,0
1715130284881,0,0,0,0
