Timestamp,LeftRoll,LeftFootHeight,RightRoll,RightFootHeight,CntFtAboveStep,CntFtStep
1719815498289,0,0.01,0,0,0,0
1719815498402,0,0.01,0,0,0,0
1719815498448,0,0.01,0,0,0,0
1719815498475,0,0.01,0,0,0,0
1719815498548,0,0.01,0,0,0,0
1719815498578,0,0.01,0,0,0,0
1719815498610,0,0.01,0,0,0,0
1719815498635,0,0.01,0,0,0,0
1719815498664,0,0.01,0,0,0,0
1719815498692,0,0.01,0,0,0,0
1719815498721,0,0.01,0,0,0,0
1719815498751,0,0.01,0,0,0,0
1719815498779,0,0.01,0,0,0,0
1719815498805,0,0.01,0,0,0,0
1719815498834,0,0.01,0,0,0,0
1719815498860,0,0.01,0,0,0,0
1719815498886,0,0.01,0,0,0,0
1719815498915,0,0.01,0,0,0,0
1719815498944,0,0.01,0,0,0,0
1719815498973,0,0.01,0,0,0,0
1719815498999,0,0.01,0,0,0,0
1719815499026,0,0.01,0,0,0,0
1719815499052,0,0.01,0,0,0,0
1719815499080,0,0.01,0,0,0,0
1719815499108,0,0.01,0,0,0,0
1719815499137,0,0.01,0,0,0,0
1719815499176,0,0.01,0,0,0,0
1719815499206,0,0.01,0,0,0,0
1719815499237,0,0.01,0,0,0,0
1719815499271,0,0.01,0,0,0,0
1719815499300,0,0.01,0,0,0,0
1719815499326,0,0.01,0,0,0,0
1719815499352,0,0.01,0,0,0,0
1719815499381,0,0.01,0,0,0,0
1719815499409,0,0.01,0,0,0,0
1719815499437,0,0.01,0,0,0,0
1719815499471,0,0.01,0,0,0,0
1719815499497,0,0.01,0,0,0,0
1719815499524,0,0.01,0,0,0,0
1719815499552,0,0.01,0,0,0,0
1719815499577,0,0.01,0,0,0,0
1719815499605,0,0.01,0,0,0,0
1719815499632,0,0.01,0,0,0,0
1719815499658,0,0.01,0,0,0,0
1719815499684,0,0.01,0,0,0,0
1719815499713,0,0.01,0,0,0,0
1719815499740,0,0.01,0,0,0,0
1719815499768,0,0.01,0,0,0,0
1719815499795,0,0.01,0,0,0,0
1719815499823,0,0.01,0,0,0,0
1719815499853,0,0.01,0,0,0,0
1719815499883,0,0.01,0,0,0,0
1719815499911,0,0.01,0,0,0,0
1719815499937,0,0.01,0,0,0,0
1719815499965,0,0.01,0,0,0,0
1719815499998,0,0.01,0,0,0,0
1719815500024,0,0.01,0,0,0,0
1719815500065,0,0.01,0,0,0,0
1719815500098,0,0.01,0,0,0,0
1719815500127,0,0.01,0,0,0,0
1719815500155,0,0.01,0,0,0,0
1719815500182,0,0.01,0,0,0,0
1719815500210,0,0.01,0,0,0,0
1719815500237,0,0.01,0,0,0,0
1719815500266,0,0.01,0,0,0,0
1719815500298,0,0.01,0,0,0,0
1719815500333,0,0.01,0,0,0,0
1719815500361,0,0.01,0,0,0,0
1719815500386,0,0.01,0,0,0,0
1719815500417,0,0.01,0,0,0,0
1719815500450,0,0.01,0,0,0,0
1719815500481,0,0.01,0,0,0,0
1719815500511,0,0.01,0,0,0,0
1719815500540,0,0.01,0,0,0,0
1719815500570,0,0.01,0,0,0,0
1719815500596,0,0.01,0,0,0,0
1719815500626,0,0.01,0,0,0,0
1719815500654,0,0.01,0,0,0,0
1719815500682,0,0.01,0,0,0,0
1719815500707,0,0.01,0,0,0,0
1719815500736,0,0.01,0,0,0,0
1719815500763,0,0.01,0,0,0,0
1719815500789,0,0.01,0,0,0,0
1719815500817,0,0.01,0,0,0,0
1719815500843,0,0.01,0,0,0,0
1719815500870,0,0.01,0,0,0,0
1719815500898,0,0.01,0,0,0,0
1719815500929,0,0.01,0,0,0,0
1719815500955,0,0.01,0,0,0,0
1719815500983,0,0.01,0,0,0,0
1719815501010,0,0.01,0,0,0,0
1719815501038,0,0.01,0,0,0,0
1719815501066,0,0.01,0,0,0,0
1719815501093,0,0.01,0,0,0,0
1719815501122,0,0.01,0,0,0,0
1719815501150,0,0.01,0,0,0,0
