Timestamp,LeftRoll,LeftFootHeight,RightRoll,RightFootHeight
1715704214051,0,0,0,0
1715704214183,0,0,0,0
1715704214251,0,0,0,0
1715704214278,0,0,0,0
1715704214329,0,0,0,0
1715704214378,0,0,0,0
1715704214422,0,0,0,0
1715704214470,0,0,0,0
1715704214516,0,0,0,0
1715704214534,0,0,0,0
1715704214549,0,0,0,0
1715704214567,0,0,0,0
1715704214584,0,0,0,0
1715704214605,0,0,0,0
1715704214624,0,0,0,0
1715704214641,0,0,0,0
1715704214659,0,0,0,0
1715704214677,0,0,0,0
1715704214694,0,0,0,0
1715704214710,0,0,0,0
1715704214727,0,0,0,0
1715704214743,0,0,0,0
1715704214761,0,0,0,0
1715704214776,0,0,0,0
1715704214795,0,0,0,0
1715704214809,0,0,0,0
1715704214827,0,0,0,0
1715704214845,0,0,0,0
1715704214862,0,0,0,0
1715704214878,0,0,0,0
1715704214898,0,0,0,0
1715704214916,0,0,0,0
1715704214932,0,0,0,0
1715704214947,0,0,0,0
1715704214962,0,0,0,0
1715704214979,0,0,0,0
1715704214995,0,0,0,0
1715704215009,0,0,0,0
1715704215025,0,0,0,0
1715704215039,0,0,0,0
1715704215054,0,0,0,0
1715704215069,0,0,0,0
1715704215083,0,0,0,0
1715704215098,0,0,0,0
1715704215113,0,0,0,0
1715704215128,0,0,0,0
1715704215142,0,0,0,0
1715704215157,0,0,0,0
1715704215173,0,0,0,0
1715704215187,0,0,0,0
1715704215203,0,0,0,0
1715704215219,0,0,0,0
1715704215235,0,0,0,0
1715704215250,0,0,0,0
1715704215266,0,0,0,0
1715704215281,0,0,0,0
1715704215297,0,0,0,0
1715704215313,0,0,0,0
1715704215327,0,0,0,0
1715704215342,0,0,0,0
1715704215356,0,0,0,0
1715704215370,0,0,0,0
1715704215386,0,0,0,0
1715704215401,0,0,0,0
1715704215415,0,0,0,0
1715704215430,0,0,0,0
1715704215444,0,0,0,0
1715704215459,0,0,0,0
1715704215473,0,0,0,0
1715704215487,0,0,0,0
1715704215501,0,0,0,0
1715704215517,0,0,0,0
1715704215532,0,0,0,0
1715704215557,0,0,0,0
1715704215574,0,0,0,0
1715704215589,0,0,0,0
1715704215607,0,0,0,0
1715704215631,0,0,0,0
1715704215647,0,0,0,0
1715704215664,0,0,0,0
1715704215690,0,0,0,0
1715704215713,0,0,0,0
1715704215738,0,0,0,0
1715704215763,0,0,0,0
1715704215787,0,0,0,0
1715704215803,0,0,0,0
1715704215825,0,0,0,0
1715704215847,0,0,0,0
1715704215871,0,0,0,0
1715704215894,0,0,0,0
1715704215917,0,0,0,0
1715704215940,0,0,0,0
1715704215963,0,0,0,0
1715704215986,0,0,0,0
1715704216011,0,0,0,0
1715704216034,0,0,0,0
1715704216058,0,0,0,0
1715704216082,0,0,0,0
1715704216104,0,0,0,0
1715704216121,0,0,0,0
1715704216145,0,0,0,0
1715704216169,0,0,0,0
1715704216194,0,0,0,0
1715704216218,0,0,0,0
1715704216243,0,0,0,0
1715704216268,0,0,0,0
1715704216292,0,0,0,0
1715704216317,0,0,0,0
1715704216343,0,0,0,0
1715704216368,0,0,0,0
1715704216384,0,0,0,0
1715704216399,0,0,0,0
1715704216414,0,0,0,0
1715704216427,0,0,0,0
1715704216443,0,0,0,0
1715704216458,0,0,0,0
1715704216473,0,0,0,0
1715704216489,0,0,0,0
1715704216503,0,0,0,0
1715704216520,0,0,0,0
1715704216533,0,0,0,0
1715704216550,0,0,0,0
1715704216566,0,0,0,0
1715704216583,0,0,0,0
1715704216599,0,0,0,0
1715704216615,0,0,0,0
1715704216629,0,0,0,0
1715704216643,0,0,0,0
1715704216660,0,0,0,0
1715704216675,0,0,0,0
1715704216690,0,0,0,0
1715704216707,0,0,0,0
1715704216720,0,0,0,0
1715704216737,0,0,0,0
1715704216754,0,0,0,0
1715704216768,0,0,0,0
1715704216782,0,0,0,0
1715704216796,0,0,0,0
1715704216811,0,0,0,0
1715704216826,0,0,0,0
1715704216841,0,0,0,0
1715704216858,0,0,0,0
1715704216874,0,0,0,0
1715704216891,0,0,0,0
1715704216907,0,0,0,0
1715704216921,0,0,0,0
1715704216938,0,0,0,0
1715704216953,0,0,0,0
1715704216968,0,0,0,0
1715704216982,0,0,0,0
1715704216999,0,0,0,0
1715704217015,0,0,0,0
1715704217031,0,0,0,0
1715704217047,0,0,0,0
1715704217061,0,0,0,0
1715704217078,0,0,0,0
1715704217093,0,0,0,0
1715704217106,0,0,0,0
1715704217124,0,0,0,0
1715704217139,0,0,0,0
1715704217154,0,0,0,0
1715704217171,0,0,0,0
1715704217187,0,0,0,0
1715704217203,0,0,0,0
1715704217218,0,0,0,0
1715704217233,0,0,0,0
1715704217247,0,0,0,0
1715704217263,0,0,0,0
1715704217279,0,0,0,0
1715704217294,0,0,0,0
1715704217309,0,0,0,0
1715704217323,0,0,0,0
1715704217340,0,0,0,0
