PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715252890384,1.085411,0.1,0.7597648,0.04518206,0.5160294,0.8536791,-0.05389494
1715252890404,1.085509,0.0999999,0.7598987,0.04522273,0.5161022,0.8536403,-0.05377506
1715252890424,1.085603,0.1000001,0.7600139,0.04525353,0.5161875,0.8535935,-0.05367704
1715252890471,1.085701,0.1000001,0.7601295,0.04528715,0.5162864,0.8535373,-0.05358618
1715252890482,1.085944,0.1000005,0.7603826,0.04534738,0.5166026,0.8533526,-0.05342814
1715252890527,1.086005,0.1000001,0.7604423,0.0453594,0.5166909,0.8533008,-0.05339627
1715252890560,1.086251,0.1,0.7606745,0.04535713,0.5170552,0.8530885,-0.05325988
1715252890576,1.086437,0.1000001,0.7608407,0.04532163,0.5173044,0.8529466,-0.05314631
1715252890592,1.086537,0.1000001,0.760926,0.04529066,0.5174229,0.8528807,-0.05307461
1715252890609,1.086633,0.1000001,0.7610046,0.04525474,0.517532,0.852821,-0.05300263
1715252890625,1.08674,0.1000001,0.7610897,0.04520036,0.5176458,0.8527605,-0.05290905
1715252890645,1.08685,0.1000001,0.7611746,0.04513764,0.5177601,0.8527007,-0.0528114
1715252890664,1.086974,0.1,0.7612701,0.04504931,0.5178854,0.8526368,-0.05268791
1715252890678,1.087098,0.1000001,0.7613639,0.04495299,0.5180037,0.8525777,-0.05256232
1715252890698,1.087193,0.1000003,0.7614331,0.04487496,0.5180889,0.8525358,-0.05246681
1715252890719,1.087318,0.1000004,0.7615247,0.04476606,0.5181891,0.8524885,-0.05234236
1715252890740,1.087438,0.0999999,0.7616104,0.0446576,0.5182746,0.8524489,-0.05222961
1715252890759,1.087573,0.1000004,0.7617068,0.04452707,0.5183388,0.8524237,-0.05211492
1715252890780,1.087692,0.1000001,0.7617931,0.04440799,0.5183778,0.8524117,-0.05202801
1715252890798,1.087821,0.1,0.7618884,0.04426976,0.5183884,0.8524172,-0.05194707
1715252890816,1.087939,0.1000004,0.7619758,0.04413752,0.5183776,0.8524348,-0.05188265
1715252890833,1.088053,0.0999999,0.76206,0.04400869,0.5183551,0.8524585,-0.05183126
1715252890855,1.088176,0.1000001,0.7621508,0.04386082,0.5183232,0.8524885,-0.05177931
1715252890875,1.088329,0.1000004,0.7622634,0.04366973,0.5182903,0.8525221,-0.05171205
1715252890896,1.088465,0.1,0.7623639,0.0434885,0.5182678,0.8525487,-0.05165645
1715252890913,1.088613,0.1000001,0.7624713,0.04329285,0.5182551,0.852569,-0.05160904
1715252890928,1.088734,0.1000004,0.7625591,0.04313228,0.518254,0.8525793,-0.05158426
1715252890943,1.088843,0.0999999,0.7626355,0.04299609,0.5182611,0.8525823,-0.05157988
1715252890963,1.088952,0.1000001,0.7627088,0.0428656,0.51827,0.8525834,-0.05158148
1715252890981,1.08909,0.0999999,0.7627969,0.04271878,0.5182788,0.8525845,-0.05159416
1715252891003,1.089214,0.1000001,0.7628719,0.04260047,0.518284,0.8525861,-0.05161273
1715252891022,1.089367,0.1000004,0.7629532,0.0424914,0.5182831,0.8525897,-0.05165219
1715252891042,1.089501,0.1000001,0.7630219,0.04240238,0.5182762,0.8525965,-0.05168245
1715252891064,1.089648,0.1000001,0.763087,0.0423361,0.5182577,0.8526089,-0.05172257
1715252891077,1.089818,0.0999999,0.7631575,0.0422724,0.5182229,0.8526306,-0.05176437
1715252891099,1.089921,0.1000004,0.7631974,0.04224504,0.5181928,0.8526486,-0.05178939
1715252891117,1.090076,0.1000004,0.7632552,0.04222262,0.5181347,0.8526822,-0.05183578
1715252891135,1.090204,0.1000001,0.7633014,0.04221353,0.5180765,0.8527156,-0.05187459
1715252891157,1.090317,0.0999999,0.763341,0.04223244,0.5180217,0.8527445,-0.05193112
1715252891173,1.090449,0.1000001,0.7633857,0.04226571,0.5179534,0.85278,-0.05200079
1715252891192,1.090534,0.1000003,0.7634106,0.0423242,0.5179147,0.8527962,-0.05207628
1715252891210,1.090631,0.1000003,0.7634366,0.04240646,0.5178684,0.8528144,-0.05216861
1715252891227,1.090713,0.1000001,0.7634531,0.04252543,0.5178353,0.8528222,-0.05227498
1715252891241,1.090776,0.0999999,0.763463,0.04264008,0.5178095,0.8528268,-0.05236323
1715252891258,1.090834,0.0999999,0.7634679,0.04277528,0.517787,0.852828,-0.05245443
1715252891276,1.090897,0.0999999,0.7634711,0.04293797,0.5177616,0.8528292,-0.05255523
1715252891296,1.090958,0.0999999,0.7634696,0.043127,0.517739,0.8528267,-0.05266226
1715252891316,1.091024,0.1000004,0.7634649,0.04334538,0.5177141,0.8528237,-0.05277705
1715252891337,1.09109,0.0999999,0.7634565,0.04358532,0.5176886,0.8528197,-0.05289404
1715252891363,1.091154,0.1,0.7634449,0.04383861,0.5176638,0.8528143,-0.05300994
1715252891386,1.091225,0.1000004,0.7634286,0.04413994,0.5176321,0.8528101,-0.05313747
1715252891410,1.091285,0.1000004,0.7634122,0.04440989,0.5176011,0.8528086,-0.05324251
1715252891425,1.091333,0.1000001,0.7633919,0.04467643,0.5175723,0.8528048,-0.0533557
1715252891441,1.091363,0.1000001,0.7633749,0.04486061,0.5175525,0.8528019,-0.05343683
1715252891455,1.091385,0.0999999,0.7633559,0.04503693,0.5175361,0.8527975,-0.05352402
1715252891473,1.091404,0.1000003,0.7633363,0.04520211,0.5175204,0.8527933,-0.05360491
1715252891490,1.091419,0.1000001,0.7633106,0.04539698,0.5175052,0.8527852,-0.05371314
1715252891504,1.091432,0.1000003,0.7632839,0.04558034,0.5174904,0.8527781,-0.05381398
1715252891520,1.091435,0.1000001,0.7632616,0.04572226,0.5174816,0.8527707,-0.05389999
1715252891537,1.091438,0.1,0.7632336,0.0458835,0.5174699,0.8527627,-0.05399541
1715252891554,1.091431,0.0999999,0.763207,0.04602312,0.5174639,0.8527531,-0.0540881
1715252891569,1.091422,0.1000001,0.7631793,0.04615518,0.5174565,0.8527449,-0.05417374
1715252891585,1.091406,0.1000001,0.7631582,0.04624049,0.5174558,0.8527368,-0.05423817
1715252891601,1.091388,0.1000001,0.7631329,0.04633153,0.517453,0.8527289,-0.0543049
1715252891617,1.091366,0.1000001,0.7631143,0.04637486,0.5174564,0.8527222,-0.05434724
1715252891634,1.091341,0.0999999,0.7630919,0.04641775,0.5174589,0.8527154,-0.05438982
1715252891650,1.091316,0.0999999,0.7630775,0.04641313,0.5174667,0.8527101,-0.05440545
1715252891666,1.091293,0.1000001,0.7630647,0.04640532,0.5174737,0.8527054,-0.05441806
1715252891683,1.09127,0.1000001,0.7630578,0.04636861,0.5174839,0.8527014,-0.05441447
