Timestamp,PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1718330034637,1,1.602,0.96,0,0,0,1
1718330035599,1,1.602,0.96,0,0,0,1
1718330035896,1,1.602,0.96,0,0,0,1
1718330036054,1,1.602,0.96,0,0,0,1
1718330036117,1,1.602,0.96,0,0,0,1
1718330036168,1,1.602,0.96,0,0,0,1
1718330036184,1,1.602,0.96,0,0,0,1
1718330036203,1,1.602,0.96,0,0,0,1
1718330036216,1,1.602,0.96,0,0,0,1
1718330036236,1,1.602,0.96,0,0,0,1
1718330036254,1,1.602,0.96,0,0,0,1
1718330036282,1,1.602,0.96,0,0,0,1
1718330036311,1,1.602,0.96,0,0,0,1
1718330036326,1,1.602,0.96,0,0,0,1
1718330036336,1,1.602,0.96,0,0,0,1
1718330036349,1,1.602,0.96,0,0,0,1
1718330036368,1,1.602,0.96,0,0,0,1
1718330036386,1,1.602,0.96,0,0,0,1
1718330036405,1,1.602,0.96,0,0,0,1
1718330036425,1,1.602,0.96,0,0,0,1
1718330036440,1,1.602,0.96,0,0,0,1
1718330036462,1,1.602,0.96,0,0,0,1
1718330036485,1,1.602,0.96,0,0,0,1
1718330036498,1,1.602,0.96,0,0,0,1
1718330036512,1,1.602,0.96,0,0,0,1
1718330036528,1,1.602,0.96,0,0,0,1
1718330036541,1,1.602,0.96,0,0,0,1
1718330036554,1,1.602,0.96,0,0,0,1
1718330036567,1,1.602,0.96,0,0,0,1
1718330036581,1,1.602,0.96,0,0,0,1
1718330036594,1,1.602,0.96,0,0,0,1
1718330036605,1,1.602,0.96,0,0,0,1
1718330036618,1,1.602,0.96,0,0,0,1
1718330036630,1,1.602,0.96,0,0,0,1
1718330036643,1,1.602,0.96,0,0,0,1
1718330036658,1,1.602,0.96,0,0,0,1
1718330036669,1,1.602,0.96,0,0,0,1
1718330036685,1,1.602,0.96,0,0,0,1
1718330036698,1,1.602,0.96,0,0,0,1
1718330036714,1,1.602,0.96,0,0,0,1
1718330036727,1,1.602,0.96,0,0,0,1
1718330036740,1,1.602,0.96,0,0,0,1
1718330036753,1,1.602,0.96,0,0,0,1
1718330036766,1,1.602,0.96,0,0,0,1
1718330036781,1,1.602,0.96,0,0,0,1
1718330036793,1,1.602,0.96,0,0,0,1
1718330036824,1,1.602,0.96,0,0,0,1
1718330036838,1,1.602,0.96,0,0,0,1
1718330036850,1,1.602,0.96,0,0,0,1
1718330036862,1,1.602,0.96,0,0,0,1
1718330036875,1,1.602,0.96,0,0,0,1
1718330036893,1,1.602,0.96,0,0,0,1
1718330036910,1,1.602,0.96,0,0,0,1
1718330036925,1,1.602,0.96,0,0,0,1
1718330036939,1,1.602,0.96,0,0,0,1
1718330036952,1,1.602,0.96,0,0,0,1
1718330036967,1,1.602,0.96,0,0,0,1
1718330036980,1,1.602,0.96,0,0,0,1
1718330036992,1,1.602,0.96,0,0,0,1
1718330037005,1,1.602,0.96,0,0,0,1
1718330037017,1,1.602,0.96,0,0,0,1
1718330037030,1,1.602,0.96,0,0,0,1
1718330037043,1,1.602,0.96,0,0,0,1
1718330037058,1,1.602,0.96,0,0,0,1
1718330037072,1,1.602,0.96,0,0,0,1
1718330037085,1,1.602,0.96,0,0,0,1
1718330037100,1,1.602,0.96,0,0,0,1
1718330037113,1,1.602,0.96,0,0,0,1
1718330037127,1,1.602,0.96,0,0,0,1
1718330037144,1,1.602,0.96,0,0,0,1
1718330037159,1,1.602,0.96,0,0,0,1
1718330037173,1,1.602,0.96,0,0,0,1
1718330037186,1,1.602,0.96,0,0,0,1
1718330037201,1,1.602,0.96,0,0,0,1
1718330037219,1,1.602,0.96,0,0,0,1
1718330037232,1,1.602,0.96,0,0,0,1
1718330037245,1,1.602,0.96,0,0,0,1
1718330037260,1,1.602,0.96,0,0,0,1
1718330037278,1,1.602,0.96,0,0,0,1
1718330037291,1,1.602,0.96,0,0,0,1
1718330037305,1,1.602,0.96,0,0,0,1
1718330037318,1,1.602,0.96,0,0,0,1
1718330037333,1,1.602,0.96,0,0,0,1
1718330037346,1,1.602,0.96,0,0,0,1
1718330037360,1,1.602,0.96,0,0,0,1
1718330037373,1,1.602,0.96,0,0,0,1
1718330037387,1,1.602,0.96,0,0,0,1
1718330037400,1,1.602,0.96,0,0,0,1
1718330037413,1,1.602,0.96,0,0,0,1
1718330037428,1,1.602,0.96,0,0,0,1
1718330037441,1,1.602,0.96,0,0,0,1
1718330037454,1,1.602,0.96,0,0,0,1
1718330037468,1,1.602,0.96,0,0,0,1
1718330037482,1,1.602,0.96,0,0,0,1
