Timestamp,LeftRoll,LeftFootHeight,RightRoll,RightFootHeight,CntFtAboveStep,CntFtStep
1715484893716,2.875409,0.01856079,4.882103,0.03148911,0,0
1715484893730,2.875733,0.01856288,4.881842,0.03148743,0,0
1715484893743,2.875733,0.01856288,4.881842,0.03148743,0,0
1715484893757,2.875733,0.01856288,4.881842,0.03148743,0,0
1715484893771,2.87673,0.01856931,4.88127,0.03148375,0,0
1715484893784,2.876885,0.01857031,4.881409,0.03148464,0,0
1715484893799,2.876644,0.01856875,4.881622,0.03148602,0,0
1715484893813,2.876644,0.01856875,4.881622,0.03148602,0,0
1715484893827,2.876888,0.01857033,4.881726,0.03148668,0,0
1715484893840,2.876888,0.01857033,4.881726,0.03148668,0,0
1715484893855,2.876888,0.01857033,4.881726,0.03148668,0,0
1715484893869,2.876177,0.01856574,4.881728,0.0314867,0,0
1715484893882,2.876207,0.01856594,4.881814,0.03148725,0,0
1715484893896,2.876091,0.01856519,4.881751,0.03148684,0,0
1715484893910,2.875956,0.01856432,4.881474,0.03148506,0,0
1715484893924,2.875956,0.01856432,4.881474,0.03148506,0,0
1715484893938,2.875956,0.01856432,4.881474,0.03148506,0,0
1715484893952,2.875956,0.01856432,4.881474,0.03148506,0,0
1715484893966,2.875956,0.01856432,4.881474,0.03148506,0,0
1715484893980,2.875673,0.01856249,4.88059,0.03147937,0,0
1715484893994,2.875609,0.01856208,4.880576,0.03147928,0,0
1715484894008,2.875444,0.01856101,4.880514,0.03147889,0,0
1715484894022,2.875273,0.01855991,4.880351,0.03147784,0,0
1715484894035,2.874947,0.01855781,4.880255,0.03147722,0,0
1715484894049,2.874947,0.01855781,4.880255,0.03147722,0,0
1715484894063,2.874947,0.01855781,4.880255,0.03147722,0,0
1715484894077,2.874487,0.01855484,4.87993,0.03147513,0,0
1715484894091,2.874448,0.01855459,4.879961,0.03147533,0,0
1715484894105,2.874388,0.0185542,4.88014,0.03147648,0,0
1715484894119,2.874162,0.01855274,4.880442,0.03147842,0,0
1715484894133,2.8743,0.01855364,4.88088,0.03148124,0,0
1715484894147,2.8743,0.01855364,4.88088,0.03148124,0,0
1715484894160,2.8743,0.01855364,4.88088,0.03148124,0,0
1715484894174,2.874596,0.01855555,4.881298,0.03148393,0,0
1715484894188,2.87531,0.01856015,4.882128,0.03148927,0,0
1715484894202,2.875816,0.01856341,4.882499,0.03149166,0,0
1715484894216,2.875895,0.01856392,4.882771,0.03149341,0,0
1715484894231,2.875822,0.01856345,4.883189,0.0314961,0,0
1715484894244,2.875822,0.01856345,4.883189,0.0314961,0,0
1715484894258,2.875822,0.01856345,4.883189,0.0314961,0,0
1715484894272,2.875822,0.01856345,4.883189,0.0314961,0,0
1715484894286,2.874743,0.01855649,4.884602,0.03150519,0,0
1715484894300,2.874834,0.01855708,4.884763,0.03150623,0,0
1715484894314,2.874923,0.01855765,4.885051,0.03150808,0,0
1715484894328,2.874923,0.01855765,4.885051,0.03150808,0,0
1715484894342,2.874949,0.01855782,4.885369,0.03151012,0,0
1715484894356,2.875042,0.01855842,4.885754,0.0315126,0,0
1715484894369,2.875042,0.01855842,4.885754,0.0315126,0,0
1715484894383,2.875808,0.01856336,4.887779,0.03152563,0,0
1715484894397,2.876398,0.01856717,4.888286,0.03152889,0,0
1715484894411,2.876842,0.01857003,4.888802,0.03153221,0,0
1715484894425,2.877248,0.01857265,4.889281,0.03153529,0,0
1715484894439,2.877517,0.01857438,4.889675,0.03153783,0,0
1715484894453,2.877517,0.01857438,4.889675,0.03153783,0,0
1715484894467,2.877517,0.01857438,4.889675,0.03153783,0,0
1715484894481,2.877517,0.01857438,4.889675,0.03153783,0,0
1715484894495,2.877517,0.01857438,4.889675,0.03153783,0,0
1715484894509,2.877517,0.01857438,4.889675,0.03153783,0,0
1715484894523,2.877517,0.01857438,4.889675,0.03153783,0,0
1715484894537,2.877842,0.01857648,4.891378,0.03154878,0,0
1715484894551,2.880837,0.0185958,4.894085,0.03156621,0,0
1715484894565,2.880837,0.0185958,4.894085,0.03156621,0,0
1715484894579,2.880837,0.0185958,4.894085,0.03156621,0,0
1715484894593,2.880837,0.0185958,4.894085,0.03156621,0,0
1715484894606,2.883556,0.01861333,4.897373,0.03158736,0,0
1715484894620,2.884015,0.01861629,4.897599,0.03158882,0,0
1715484894634,2.884374,0.01861861,4.897739,0.03158971,0,0
1715484894648,2.884374,0.01861861,4.897739,0.03158971,0,0
1715484894662,2.884374,0.01861861,4.897739,0.03158971,0,0
1715484894676,2.884374,0.01861861,4.897739,0.03158971,0,0
1715484894690,2.884754,0.01862106,4.898971,0.03159764,0,0
1715484894704,2.884664,0.01862048,4.899268,0.03159955,0,0
1715484894718,2.884886,0.01862191,4.899638,0.03160194,0,0
1715484894732,2.885148,0.0186236,4.899981,0.03160414,0,0
1715484894745,2.885234,0.01862416,4.90031,0.03160626,0,0
1715484894758,2.885234,0.01862416,4.90031,0.03160626,0,0
1715484894773,2.885234,0.01862416,4.90031,0.03160626,0,0
1715484894786,2.885234,0.01862416,4.90031,0.03160626,0,0
1715484894800,2.886699,0.0186336,4.902843,0.03162256,0,0
1715484894815,2.887488,0.01863869,4.903838,0.03162896,0,0
1715484894829,2.888133,0.01864285,4.904212,0.03163136,0,0
1715484894842,2.888133,0.01864285,4.904212,0.03163136,0,0
1715484894855,2.889034,0.01864866,4.904551,0.03163354,0,0
1715484894870,2.889034,0.01864866,4.904551,0.03163354,0,0
1715484894884,2.889034,0.01864866,4.904551,0.03163354,0,0
1715484894897,2.892874,0.01867343,4.906536,0.03164632,0,0
1715484894910,2.894417,0.01868338,4.90667,0.03164718,0,0
1715484894922,2.894417,0.01868338,4.90667,0.03164718,0,0
1715484894938,2.897318,0.01870209,4.907726,0.03165397,0,0
1715484894953,2.899071,0.0187134,4.908279,0.03165753,0,0
1715484894966,2.899071,0.0187134,4.908279,0.03165753,0,0
1715484894979,2.899071,0.0187134,4.908279,0.03165753,0,0
1715484894994,2.899071,0.0187134,4.908279,0.03165753,0,0
1715484895008,2.908998,0.01877742,4.910208,0.03166994,0,0
1715484895021,2.908998,0.01877742,4.910208,0.03166994,0,0
1715484895035,2.913106,0.01880391,4.911022,0.03167518,0,0
1715484895051,2.915156,0.01881713,4.911308,0.03167702,0,0
1715484895063,2.915156,0.01881713,4.911308,0.03167702,0,0
1715484895078,2.915156,0.01881713,4.911308,0.03167702,0,0
1715484895089,2.915156,0.01881713,4.911308,0.03167702,0,0
1715484895105,2.92287,0.01886689,4.912247,0.03168306,0,0
1715484895119,2.926703,0.01889161,4.91275,0.03168629,0,0
1715484895133,2.928425,0.01890271,4.913036,0.03168814,0,0
1715484895147,2.930268,0.0189146,4.913315,0.03168993,0,0
1715484895161,2.932068,0.01892621,4.913592,0.03169171,0,0
1715484895175,2.932068,0.01892621,4.913592,0.03169171,0,0
1715484895189,2.932068,0.01892621,4.913592,0.03169171,0,0
1715484895203,2.939241,0.01897247,4.914915,0.03170022,0,0
1715484895217,2.941172,0.01898492,4.915157,0.03170178,0,0
1715484895230,2.94317,0.01899781,4.915409,0.03170341,0,0
1715484895245,2.945704,0.01901415,4.916279,0.031709,0,0
1715484895258,2.947184,0.01902369,4.916598,0.03171105,0,0
1715484895272,2.947184,0.01902369,4.916598,0.03171105,0,0
1715484895287,2.947184,0.01902369,4.916598,0.03171105,0,0
1715484895301,2.950072,0.01904232,4.917462,0.03171661,0,0
1715484895314,2.95582,0.01907939,4.918652,0.03172427,0,0
1715484895328,2.956868,0.01908614,4.919686,0.03173092,0,0
1715484895342,2.956868,0.01908614,4.919686,0.03173092,0,0
1715484895357,2.959497,0.0191031,4.9202,0.03173423,0,0
1715484895370,2.961065,0.01911321,4.920412,0.0317356,0,0
1715484895385,2.961065,0.01911321,4.920412,0.0317356,0,0
1715484895398,2.961065,0.01911321,4.920412,0.0317356,0,0
1715484895413,2.976155,0.01921053,4.922629,0.03174986,0,0
1715484895426,2.979228,0.01923035,4.922964,0.03175201,0,0
1715484895440,2.982304,0.01925018,4.923305,0.03175421,0,0
1715484895454,2.985014,0.01926766,4.92359,0.03175604,0,0
1715484895468,2.987739,0.01928523,4.923774,0.03175722,0,0
1715484895482,2.987739,0.01928523,4.923774,0.03175722,0,0
1715484895491,2.987739,0.01928523,4.923774,0.03175722,0,0
1715484895498,2.987739,0.01928523,4.923774,0.03175722,0,0
1715484895512,2.998,0.01935141,4.924234,0.03176018,0,0
1715484895525,3.003175,0.01938478,4.924667,0.03176297,0,0
1715484895540,3.005847,0.01940201,4.924932,0.03176467,0,0
1715484895553,3.008684,0.01942031,4.92529,0.03176698,0,0
1715484895567,3.008684,0.01942031,4.92529,0.03176698,0,0
1715484895578,3.008684,0.01942031,4.92529,0.03176698,0,0
1715484895595,3.008684,0.01942031,4.92529,0.03176698,0,0
1715484895607,3.020676,0.01949764,4.92668,0.03177592,0,0
1715484895621,3.023688,0.01951706,4.927009,0.03177804,0,0
1715484895634,3.02951,0.01955461,4.927421,0.03178069,0,0
1715484895650,3.032357,0.01957297,4.927568,0.03178163,0,0
1715484895662,3.035055,0.01959036,4.92769,0.03178242,0,0
1715484895677,3.035055,0.01959036,4.92769,0.03178242,0,0
1715484895690,3.035055,0.01959036,4.92769,0.03178242,0,0
1715484895705,3.035055,0.01959036,4.92769,0.03178242,0,0
1715484895718,3.040178,0.0196234,4.927747,0.03178278,0,0
1715484895733,3.050657,0.01969098,4.928216,0.0317858,0,0
1715484895746,3.050657,0.01969098,4.928216,0.0317858,0,0
1715484895761,3.053119,0.01970685,4.928379,0.03178685,0,0
1715484895774,3.058564,0.01974197,4.928703,0.03178894,0,0
1715484895784,3.058564,0.01974197,4.928703,0.03178894,0,0
1715484895798,3.058564,0.01974197,4.928703,0.03178894,0,0
1715484895806,3.058564,0.01974197,4.928703,0.03178894,0,0
1715484895817,3.068868,0.01980841,4.929219,0.03179226,0,0
1715484895831,3.071237,0.01982369,4.929341,0.03179304,0,0
1715484895846,3.075452,0.01985087,4.929282,0.03179266,0,0
1715484895859,3.075452,0.01985087,4.929282,0.03179266,0,0
1715484895872,3.077598,0.01986471,4.929267,0.03179256,0,0
1715484895884,3.077598,0.01986471,4.929267,0.03179256,0,0
1715484895900,3.077598,0.01986471,4.929267,0.03179256,0,0
1715484895914,3.077598,0.01986471,4.929267,0.03179256,0,0
1715484895928,3.090907,0.01995053,4.930482,0.03180038,0,0
1715484895941,3.090907,0.01995053,4.930482,0.03180038,0,0
1715484895956,3.09534,0.01997911,4.930952,0.03180341,0,0
1715484895969,3.097827,0.01999515,4.931173,0.03180483,0,0
1715484895983,3.097827,0.01999515,4.931173,0.03180483,0,0
1715484895995,3.097827,0.01999515,4.931173,0.03180483,0,0
1715484896012,3.097827,0.01999515,4.931173,0.03180483,0,0
1715484896026,3.108248,0.02006235,4.931911,0.03180958,0,0
1715484896040,3.110275,0.02007542,4.932041,0.03181041,0,0
1715484896053,3.112369,0.02008892,4.932108,0.03181084,0,0
1715484896067,3.114397,0.020102,4.932188,0.03181136,0,0
1715484896080,3.116426,0.02011508,4.932288,0.031812,0,0
1715484896095,3.116426,0.02011508,4.932288,0.031812,0,0
1715484896108,3.116426,0.02011508,4.932288,0.031812,0,0
1715484896122,3.126034,0.02017703,4.933022,0.03181672,0,0
1715484896136,3.128407,0.02019233,4.93324,0.03181813,0,0
1715484896151,3.130757,0.02020749,4.933487,0.03181972,0,0
1715484896164,3.132807,0.02022071,4.933836,0.03182196,0,0
1715484896178,3.134951,0.02023453,4.934199,0.0318243,0,0
1715484896190,3.134951,0.02023453,4.934199,0.0318243,0,0
1715484896205,3.134951,0.02023453,4.934199,0.0318243,0,0
1715484896218,3.134951,0.02023453,4.934199,0.0318243,0,0
1715484896233,3.145136,0.0203002,4.935618,0.03183343,0,0
1715484896247,3.14703,0.02031242,4.935824,0.03183475,0,0
1715484896261,3.149078,0.02032562,4.936049,0.0318362,0,0
1715484896275,3.152857,0.02034999,4.936563,0.0318395,0,0
1715484896288,3.152857,0.02034999,4.936563,0.0318395,0,0
1715484896302,3.152857,0.02034999,4.936563,0.0318395,0,0
1715484896316,3.152857,0.02034999,4.936563,0.0318395,0,0
1715484896330,3.158959,0.02038933,4.937353,0.03184459,0,0
1715484896344,3.160417,0.02039873,4.937406,0.03184493,0,0
1715484896358,3.163737,0.02042014,4.937527,0.03184571,0,0
1715484896372,3.165672,0.02043262,4.937722,0.03184697,0,0
1715484896386,3.165672,0.02043262,4.937722,0.03184697,0,0
1715484896400,3.167467,0.02044419,4.93785,0.03184779,0,0
1715484896414,3.167467,0.02044419,4.93785,0.03184779,0,0
1715484896428,3.167467,0.02044419,4.93785,0.03184779,0,0
1715484896442,3.175434,0.02049556,4.938679,0.03185312,0,0
1715484896456,3.179265,0.02052026,4.938987,0.0318551,0,0
1715484896466,3.181075,0.02053194,4.939058,0.03185556,0,0
1715484896484,3.18268,0.02054228,4.939168,0.03185626,0,0
1715484896498,3.18268,0.02054228,4.939168,0.03185626,0,0
1715484896511,3.18268,0.02054228,4.939168,0.03185626,0,0
1715484896525,3.18268,0.02054228,4.939168,0.03185626,0,0
1715484896539,3.19082,0.02059477,4.940009,0.03186168,0,0
1715484896553,3.19232,0.02060444,4.940193,0.03186286,0,0
1715484896567,3.193986,0.02061518,4.940357,0.03186392,0,0
1715484896581,3.195438,0.02062454,4.940595,0.03186545,0,0
1715484896595,3.195438,0.02062454,4.940595,0.03186545,0,0
1715484896608,3.195438,0.02062454,4.940595,0.03186545,0,0
1715484896623,3.195438,0.02062454,4.940595,0.03186545,0,0
1715484896646,3.205126,0.02068701,4.942225,0.03187593,0,0
1715484896667,3.208113,0.02070627,4.942501,0.03187771,0,0
1715484896681,3.209855,0.0207175,4.942645,0.03187864,0,0
1715484896697,3.209855,0.0207175,4.942645,0.03187864,0,0
1715484896712,3.209855,0.0207175,4.942645,0.03187864,0,0
1715484896726,3.209855,0.0207175,4.942645,0.03187864,0,0
1715484896739,3.218098,0.02077064,4.94381,0.03188613,0,0
1715484896754,3.219608,0.02078038,4.944162,0.0318884,0,0
1715484896768,3.22121,0.02079071,4.944505,0.0318906,0,0
1715484896781,3.222901,0.02080161,4.944738,0.0318921,0,0
1715484896795,3.224586,0.02081248,4.944944,0.03189343,0,0
1715484896809,3.224586,0.02081248,4.944944,0.03189343,0,0
1715484896823,3.224586,0.02081248,4.944944,0.03189343,0,0
1715484896837,3.224586,0.02081248,4.944944,0.03189343,0,0
1715484896851,3.230581,0.02085113,4.946276,0.031902,0,0
