Timestamp,LeftRoll,LeftFootHeight,RightRoll,RightFootHeight,CntFtAboveStep,CntFtStep
1717765521631,0,0,0,0,0,0
1717765521691,0,0,0,0,0,0
1717765521710,0,0,0,0,0,0
1717765521727,0,0,0,0,0,0
1717765521749,0,0,0,0,0,0
1717765521764,0,0,0,0,0,0
1717765521775,0,0,0,0,0,0
1717765521786,0,0,0,0,0,0
1717765521797,0,0,0,0,0,0
1717765521811,0,0,0,0,0,0
1717765521820,0,0,0,0,0,0
1717765521835,0,0,0,0,0,0
1717765521849,0,0,0,0,0,0
1717765521866,0,0,0,0,0,0
1717765521876,0,0,0,0,0,0
1717765521889,0,0,0,0,0,0
1717765521904,0,0,0,0,0,0
1717765521915,0,0,0,0,0,0
1717765521925,0,0,0,0,0,0
1717765521938,0,0,0,0,0,0
1717765521948,0,0,0,0,0,0
1717765521958,0,0,0,0,0,0
1717765521973,0,0,0,0,0,0
1717765521983,0,0,0,0,0,0
1717765521994,0,0,0,0,0,0
1717765522022,0,0,0,0,0,0
1717765522037,0,0,0,0,0,0
1717765522049,0,0,0,0,0,0
1717765522061,0,0,0,0,0,0
1717765522071,0,0,0,0,0,0
1717765522082,0,0,0,0,0,0
1717765522128,0,0,0,0,0,0
1717765522222,0,0,0,0,0,0
1717765522242,0,0,0,0,0,0
1717765522261,0,0,0,0,0,0
1717765522275,0,0,0,0,0,0
1717765522289,0,0,0,0,0,0
1717765522308,0,0,0,0,0,0
1717765522319,0,0,0,0,0,0
1717765522335,0,0,0,0,0,0
1717765522348,0,0,0,0,0,0
1717765522360,0,0,0,0,0,0
1717765522375,0,0,0,0,0,0
1717765522389,0,0,0,0,0,0
1717765522405,0,0,0,0,0,0
1717765522418,0,0,0,0,0,0
1717765522429,0,0,0,0,0,0
1717765522442,0,0,0,0,0,0
1717765522468,0,0,0,0,0,0
1717765522484,0,0,0,0,0,0
1717765522497,0,0,0,0,0,0
1717765522508,0,0,0,0,0,0
1717765522520,0,0,0,0,0,0
1717765522533,0,0,0,0,0,0
1717765522547,0,0,0,0,0,0
1717765522560,0,0,0,0,0,0
1717765522572,0,0,0,0,0,0
1717765522584,0,0,0,0,0,0
1717765522598,0,0,0,0,0,0
1717765522616,0,0,0,0,0,0
1717765522632,0,0,0,0,0,0
1717765522647,0,0,0,0,0,0
1717765522661,0,0,0,0,0,0
1717765522673,0,0,0,0,0,0
1717765522696,0,0,0,0,0,0
1717765522723,0,0,0,0,0,0
1717765522741,0,0,0,0,0,0
1717765522754,0,0,0,0,0,0
1717765522767,0,0,0,0,0,0
1717765522780,0,0,0,0,0,0
1717765522795,0,0,0,0,0,0
1717765522808,0,0,0,0,0,0
1717765522820,0,0,0,0,0,0
1717765522834,0,0,0,0,0,0
1717765522846,0,0,0,0,0,0
1717765522857,0,0,0,0,0,0
1717765522870,0,0,0,0,0,0
1717765522883,0,0,0,0,0,0
1717765522897,0,0,0,0,0,0
1717765522909,0,0,0,0,0,0
1717765522922,0,0,0,0,0,0
1717765522935,0,0,0,0,0,0
1717765522948,0,0,0,0,0,0
1717765522963,0,0,0,0,0,0
1717765522976,0,0,0,0,0,0
1717765522992,0,0,0,0,0,0
1717765523006,0,0,0,0,0,0
1717765523018,0,0,0,0,0,0
1717765523032,0,0,0,0,0,0
1717765523045,0,0,0,0,0,0
1717765523058,0,0,0,0,0,0
1717765523079,0,0,0,0,0,0
1717765523101,0,0,0,0,0,0
1717765523121,0,0,0,0,0,0
1717765523142,0,0,0,0,0,0
1717765523162,0,0,0,0,0,0
1717765523181,0,0,0,0,0,0
1717765523205,0,0,0,0,0,0
1717765523231,0,0,0,0,0,0
1717765523248,0,0,0,0,0,0
1717765523269,0,0,0,0,0,0
1717765523286,0,0,0,0,0,0
1717765523310,0,0,0,0,0,0
1717765523332,0,0,0,0,0,0
1717765523352,0,0,0,0,0,0
1717765523376,0,0,0,0,0,0
1717765523402,0,0,0,0,0,0
1717765523426,0,0,0,0,0,0
1717765523454,0,0,0,0,0,0
1717765523471,0,0,0,0,0,0
1717765523490,0,0,0,0,0,0
1717765523510,0,0,0,0,0,0
1717765523528,0,0,0,0,0,0
1717765523544,0,0,0,0,0,0
1717765523573,0,0,0,0,0,0
1717765523589,0,0,0,0,0,0
1717765523607,0,0,0,0,0,0
1717765523620,0,0,0,0,0,0
1717765523636,0,0,0,0,0,0
1717765523653,0,0,0,0,0,0
1717765523667,0,0,0,0,0,0
1717765523682,0,0,0,0,0,0
1717765523700,0,0,0,0,0,0
1717765523714,0,0,0,0,0,0
1717765523741,0,0,0,0,0,0
1717765523754,0,0,0,0,0,0
1717765523769,0,0,0,0,0,0
1717765523786,0,0,0,0,0,0
1717765523802,0,0,0,0,0,0
1717765523822,0,0,0,0,0,0
1717765523839,0,0,0,0,0,0
1717765523854,0,0,0,0,0,0
1717765523869,0,0,0,0,0,0
1717765523887,0,0,0,0,0,0
1717765523907,0,0,0,0,0,0
1717765523930,0,0,0,0,0,0
1717765523945,0,0,0,0,0,0
1717765523964,0,0,0,0,0,0
1717765523978,0,0,0,0,0,0
1717765524002,0,0,0,0,0,0
1717765524019,0,0,0,0,0,0
1717765524040,0,0,0,0,0,0
1717765524061,0,0,0,0,0,0
1717765524083,0,0,0,0,0,0
1717765524100,0,0,0,0,0,0
1717765524118,0,0,0,0,0,0
1717765524135,0,0,0,0,0,0
1717765524155,0,0,0,0,0,0
1717765524170,0,0,0,0,0,0
1717765524186,0,0,0,0,0,0
1717765524199,0,0,0,0,0,0
1717765524214,0,0,0,0,0,0
1717765524229,0,0,0,0,0,0
1717765524245,0,0,0,0,0,0
1717765524262,0,0,0,0,0,0
1717765524285,0,0,0,0,0,0
1717765524298,0,0,0,0,0,0
1717765524313,0,0,0,0,0,0
1717765524329,0,0,0,0,0,0
1717765524346,0,0,0,0,0,0
1717765524368,0,0,0,0,0,0
1717765524406,0,0,0,0,0,0
1717765524429,0,0,0,0,0,0
1717765524446,0,0,0,0,0,0
1717765524466,0,0,0,0,0,0
1717765524482,0,0,0,0,0,0
1717765524499,0,0,0,0,0,0
1717765524518,0,0,0,0,0,0
1717765524536,0,0,0,0,0,0
1717765524551,0,0,0,0,0,0
1717765524567,0,0,0,0,0,0
1717765524582,0,0,0,0,0,0
1717765524596,0,0,0,0,0,0
1717765524614,0,0,0,0,0,0
1717765524628,0,0,0,0,0,0
1717765524645,0,0,0,0,0,0
1717765524661,0,0,0,0,0,0
1717765524680,0,0,0,0,0,0
1717765524695,0,0,0,0,0,0
1717765524713,0,0,0,0,0,0
1717765524730,0,0,0,0,0,0
