Timestamp,LeftRoll,LeftFootHeight,RightRoll,RightFootHeight
1715770957499,0,0,0,0
1715770957578,0,0,0,0
1715770957592,0,0,0,0
1715770957600,0,0,0,0
1715770957607,0,0,0,0
1715770957617,0,0,0,0
1715770957624,0,0,0,0
1715770957630,0,0,0,0
1715770957637,0,0,0,0
1715770957649,0,0,0,0
1715770957661,0,0,0,0
1715770957670,0,0,0,0
1715770957684,0,0,0,0
1715770957693,0,0,0,0
1715770957703,0,0,0,0
1715770957717,0,0,0,0
1715770957724,0,0,0,0
1715770957732,0,0,0,0
1715770957747,0,0,0,0
1715770957755,0,0,0,0
1715770957761,0,0,0,0
1715770957774,0,0,0,0
1715770957789,0,0,0,0
1715770957797,0,0,0,0
1715770957809,0,0,0,0
1715770957823,0,0,0,0
1715770957831,0,0,0,0
1715770957843,0,0,0,0
1715770957853,0,0,0,0
1715770957862,0,0,0,0
1715770957877,0,0,0,0
1715770957883,0,0,0,0
1715770957888,0,0,0,0
1715770957893,0,0,0,0
1715770957897,0,0,0,0
1715770957902,0,0,0,0
1715770957907,0,0,0,0
1715770957912,0,0,0,0
1715770957916,0,0,0,0
1715770957920,0,0,0,0
1715770957925,0,0,0,0
1715770957929,0,0,0,0
1715770957935,0,0,0,0
1715770957939,0,0,0,0
1715770957945,0,0,0,0
1715770957949,0,0,0,0
1715770957954,0,0,0,0
1715770957958,0,0,0,0
1715770957963,0,0,0,0
1715770957967,0,0,0,0
1715770957973,0,0,0,0
1715770957980,0,0,0,0
1715770957984,0,0,0,0
1715770957989,0,0,0,0
1715770957993,0,0,0,0
1715770957998,0,0,0,0
1715770958002,0,0,0,0
1715770958008,0,0,0,0
1715770958013,0,0,0,0
1715770958019,0,0,0,0
1715770958024,0,0,0,0
1715770958029,0,0,0,0
1715770958034,0,0,0,0
1715770958039,0,0,0,0
1715770958044,0,0,0,0
1715770958049,0,0,0,0
1715770958054,0,0,0,0
1715770958059,0,0,0,0
1715770958063,0,0,0,0
1715770958069,0,0,0,0
1715770958075,0,0,0,0
1715770958079,0,0,0,0
1715770958083,0,0,0,0
1715770958088,0,0,0,0
1715770958092,0,0,0,0
1715770958096,0,0,0,0
1715770958100,0,0,0,0
1715770958104,0,0,0,0
1715770958109,0,0,0,0
1715770958115,0,0,0,0
1715770958120,0,0,0,0
1715770958124,0,0,0,0
1715770958129,0,0,0,0
1715770958134,0,0,0,0
1715770958138,0,0,0,0
1715770958143,0,0,0,0
1715770958148,0,0,0,0
1715770958153,0,0,0,0
1715770958158,0,0,0,0
1715770958163,0,0,0,0
1715770958167,0,0,0,0
1715770958173,0,0,0,0
1715770958177,0,0,0,0
1715770958181,0,0,0,0
1715770958184,0,0,0,0
1715770958189,0,0,0,0
1715770958194,0,0,0,0
1715770958198,0,0,0,0
1715770958202,0,0,0,0
1715770958207,0,0,0,0
1715770958213,0,0,0,0
1715770958217,0,0,0,0
1715770958222,0,0,0,0
1715770958226,0,0,0,0
1715770958231,0,0,0,0
1715770958235,0,0,0,0
1715770958239,0,0,0,0
1715770958243,0,0,0,0
1715770958247,0,0,0,0
1715770958252,0,0,0,0
1715770958256,0,0,0,0
1715770958261,0,0,0,0
1715770958265,0,0,0,0
1715770958269,0,0,0,0
1715770958274,0,0,0,0
1715770958278,0,0,0,0
1715770958283,0,0,0,0
1715770958288,0,0,0,0
1715770958293,0,0,0,0
1715770958298,0,0,0,0
1715770958303,0,0,0,0
1715770958307,0,0,0,0
1715770958312,0,0,0,0
1715770958317,0,0,0,0
1715770958321,0,0,0,0
1715770958327,0,0,0,0
1715770958331,0,0,0,0
1715770958337,0,0,0,0
1715770958340,0,0,0,0
1715770958345,0,0,0,0
1715770958351,0,0,0,0
1715770958355,0,0,0,0
1715770958359,0,0,0,0
1715770958364,0,0,0,0
1715770958369,0,0,0,0
1715770958374,0,0,0,0
1715770958377,0,0,0,0
1715770958383,0,0,0,0
1715770958387,0,0,0,0
1715770958392,0,0,0,0
1715770958395,0,0,0,0
1715770958413,0,0,0,0
1715770958420,0,0,0,0
1715770958426,0,0,0,0
1715770958430,0,0,0,0
1715770958434,0,0,0,0
1715770958437,0,0,0,0
1715770958443,0,0,0,0
1715770958447,0,0,0,0
1715770958452,0,0,0,0
1715770958456,0,0,0,0
1715770958461,0,0,0,0
1715770958465,0,0,0,0
1715770958469,0,0,0,0
1715770958474,0,0,0,0
1715770958478,0,0,0,0
1715770958482,0,0,0,0
1715770958486,0,0,0,0
1715770958491,0,0,0,0
1715770958496,0,0,0,0
1715770958499,0,0,0,0
1715770958503,0,0,0,0
1715770958508,0,0,0,0
1715770958522,0,0,0,0
