PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715252890362,0.9153075,0.0999999,0.7610694,-0.006313216,0.5167378,0.855506,0.03243709
1715252890384,0.9154164,0.1000001,0.7611696,-0.006355139,0.5167894,0.8554707,0.03253134
1715252890404,0.9155149,0.1,0.7612485,-0.006374114,0.5168532,0.8554294,0.03260009
1715252890424,0.9156071,0.1000001,0.7613114,-0.006396808,0.5169277,0.8553823,0.03265131
1715252890471,0.9157059,0.1000003,0.7613717,-0.006418539,0.5170134,0.8553288,0.03269252
1715252890483,0.9159474,0.0999999,0.7614887,-0.0064897,0.517288,0.8551608,0.03273214
1715252890527,0.916008,0.0999999,0.7615125,-0.006509549,0.5173632,0.855115,0.03273512
1715252890560,0.9162537,0.1000001,0.7615772,-0.006632271,0.5176616,0.8549324,0.03276176
1715252890576,0.9164385,0.1000004,0.7615979,-0.006746884,0.517848,0.854817,0.03280293
1715252890593,0.9165385,0.1000005,0.7615988,-0.006815054,0.5179288,0.8547658,0.0328408
1715252890610,0.9166341,0.1000001,0.7615936,-0.006883681,0.5179998,0.8547209,0.0328836
1715252890626,0.9167408,0.1000001,0.7615798,-0.006970726,0.5180686,0.8546761,0.03294858
1715252890645,0.9168499,0.1000003,0.7615592,-0.007064064,0.5181326,0.8546335,0.03302053
1715252890664,0.9169745,0.1000004,0.7615266,-0.007183456,0.5181971,0.8545898,0.03311894
1715252890678,0.9170989,0.1000005,0.7614861,-0.00730736,0.5182492,0.854553,0.03322394
1715252890698,0.9171925,0.1000003,0.7614505,-0.007403526,0.5182803,0.85453,0.03330731
1715252890719,0.9173175,0.1000001,0.761396,-0.00753261,0.5183021,0.8545114,0.03342036
1715252890740,0.9174381,0.09999979,0.7613358,-0.007655886,0.5183048,0.8545042,0.03352839
1715252890760,0.9175736,0.1,0.7612617,-0.007795331,0.5182666,0.8545216,0.03364685
1715252890780,0.917693,0.1000004,0.761197,-0.007915837,0.5182093,0.8545515,0.0337448
1715252890799,0.9178226,0.1000004,0.7611269,-0.008047785,0.5181108,0.8546059,0.03384691
1715252890816,0.9179417,0.1000001,0.7610634,-0.008168045,0.5179959,0.8546708,0.03393821
