Timestamp,LeftRoll,LeftFootHeight,RightRoll,RightFootHeight
1715916189712,0,0,0,0
1715916189823,0,0,0,0
1715916189871,0,0,0,0
1715916189887,0,0,0,0
1715916189923,0,0,0,0
1715916189958,0,0,0,0
1715916189993,0,0,0,0
1715916190025,0,0,0,0
1715916190057,0,0,0,0
1715916190072,0,0,0,0
1715916190103,0,0,0,0
1715916190126,0,0,0,0
1715916190145,0,0,0,0
1715916190164,0,0,0,0
1715916190182,0,0,0,0
1715916190202,0,0,0,0
1715916190226,0,0,0,0
1715916190254,0,0,0,0
1715916190265,0,0,0,0
1715916190290,0,0,0,0
1715916190306,0,0,0,0
1715916190326,0,0,0,0
1715916190345,0,0,0,0
1715916190363,0,0,0,0
1715916190379,0,0,0,0
1715916190395,0,0,0,0
1715916190410,0,0,0,0
1715916190426,0,0,0,0
1715916190459,0,0,0,0
1715916190472,0,0,0,0
1715916190507,0,0,0,0
1715916190529,0,0,0,0
1715916190548,0,0,0,0
1715916190570,0,0,0,0
1715916190584,0,0,0,0
1715916190601,0,0,0,0
1715916190619,0,0,0,0
1715916190638,0,0,0,0
1715916190658,0,0,0,0
1715916190670,0,0,0,0
1715916190685,0,0,0,0
1715916190702,0,0,0,0
1715916190719,0,0,0,0
1715916190734,0,0,0,0
1715916190754,0,0,0,0
1715916190776,0,0,0,0
1715916190798,0,0,0,0
1715916190820,0,0,0,0
1715916190847,0,0,0,0
1715916190889,0,0,0,0
1715916190905,0,0,0,0
1715916190937,0,0,0,0
1715916190962,0,0,0,0
1715916190981,0,0,0,0
1715916190998,0,0,0,0
1715916191016,0,0,0,0
1715916191033,0,0,0,0
1715916191052,0,0,0,0
1715916191083,0,0,0,0
1715916191095,0,0,0,0
1715916191123,0,0,0,0
1715916191139,0,0,0,0
1715916191167,0,0,0,0
1715916191180,0,0,0,0
1715916191199,0,0,0,0
1715916191215,0,0,0,0
1715916191232,0,0,0,0
1715916191250,0,0,0,0
1715916191290,0,0,0,0
1715916191320,0,0,0,0
1715916191335,0,0,0,0
1715916191368,0,0,0,0
1715916191388,0,0,0,0
1715916191407,0,0,0,0
1715916191440,0,0,0,0
1715916191464,0,0,0,0
1715916191492,0,0,0,0
1715916191521,0,0,0,0
1715916191550,0,0,0,0
1715916191572,0,0,0,0
1715916191584,0,0,0,0
1715916191605,0,0,0,0
1715916191624,0,0,0,0
1715916191641,0,0,0,0
1715916191658,0,0,0,0
1715916191681,0,0,0,0
1715916191695,0,0,0,0
1715916191724,0,0,0,0
1715916191735,0,0,0,0
1715916191759,0,0,0,0
1715916191778,0,0,0,0
1715916191794,0,0,0,0
1715916191810,0,0,0,0
1715916191826,0,0,0,0
1715916191849,0,0,0,0
1715916191870,0,0,0,0
1715916191892,0,0,0,0
1715916191911,0,0,0,0
1715916191946,0,0,0,0
1715916191958,0,0,0,0
1715916191992,0,0,0,0
1715916192018,0,0,0,0
1715916192037,0,0,0,0
1715916192053,0,0,0,0
1715916192071,0,0,0,0
1715916192088,0,0,0,0
1715916192103,0,0,0,0
1715916192121,0,0,0,0
1715916192149,0,0,0,0
1715916192163,0,0,0,0
1715916192190,0,0,0,0
1715916192209,0,0,0,0
1715916192227,0,0,0,0
1715916192252,0,0,0,0
1715916192271,0,0,0,0
1715916192292,0,0,0,0
1715916192312,0,0,0,0
1715916192328,0,0,0,0
1715916192359,0,0,0,0
1715916192371,0,0,0,0
1715916192401,0,0,0,0
1715916192421,0,0,0,0
1715916192441,0,0,0,0
1715916192463,0,0,0,0
1715916192486,0,0,0,0
1715916192504,0,0,0,0
1715916192526,0,0,0,0
1715916192540,0,0,0,0
1715916192572,0,0,0,0
1715916192586,0,0,0,0
1715916192613,0,0,0,0
1715916192633,0,0,0,0
1715916192652,0,0,0,0
1715916192673,0,0,0,0
1715916192693,0,0,0,0
1715916192719,0,0,0,0
1715916192734,0,0,0,0
1715916192757,0,0,0,0
1715916192788,0,0,0,0
1715916192801,0,0,0,0
1715916192827,0,0,0,0
1715916192851,0,0,0,0
1715916192866,0,0,0,0
1715916192883,0,0,0,0
1715916192900,0,0,0,0
1715916192919,0,0,0,0
1715916192938,0,0,0,0
1715916192957,0,0,0,0
1715916192988,0,0,0,0
1715916192999,0,0,0,0
1715916193023,0,0,0,0
1715916193039,0,0,0,0
1715916193056,0,0,0,0
1715916193075,0,0,0,0
1715916193096,0,0,0,0
1715916193113,0,0,0,0
1715916193130,0,0,0,0
1715916193147,0,0,0,0
1715916193161,0,0,0,0
1715916193195,0,0,0,0
1715916193209,0,0,0,0
1715916193251,0,0,0,0
1715916193272,0,0,0,0
1715916193284,0,0,0,0
1715916193312,0,0,0,0
1715916193328,0,0,0,0
1715916193341,0,0,0,0
1715916193359,0,0,0,0
1715916193387,0,0,0,0
1715916193427,0,0,0,0
1715916193443,0,0,0,0
1715916193462,0,0,0,0
1715916193475,0,0,0,0
1715916193491,0,0,0,0
1715916193522,0,0,0,0
1715916193555,0,0,0,0
1715916193590,0,0,0,0
1715916193630,0,0,0,0
1715916193645,0,0,0,0
1715916193671,0,0,0,0
1715916193698,0,0,0,0
1715916193715,0,0,0,0
1715916193740,0,0,0,0
1715916193765,0,0,0,0
1715916193786,0,0,0,0
1715916193802,0,0,0,0
1715916193827,0,0,0,0
1715916193840,0,0,0,0
1715916193872,0,0,0,0
1715916193889,0,0,0,0
1715916193907,0,0,0,0
1715916193923,0,0,0,0
1715916193934,0,0,0,0
1715916193964,0,0,0,0
1715916193981,0,0,0,0
1715916194002,0,0,0,0
1715916194028,0,0,0,0
1715916194042,0,0,0,0
1715916194076,0,0,0,0
1715916194105,0,0,0,0
1715916194122,0,0,0,0
1715916194143,0,0,0,0
1715916194162,0,0,0,0
1715916194179,0,0,0,0
1715916194197,0,0,0,0
1715916194217,0,0,0,0
1715916194238,0,0,0,0
1715916194248,0,0,0,0
1715916194276,0,0,0,0
1715916194299,0,0,0,0
1715916194320,0,0,0,0
1715916194338,0,0,0,0
1715916194355,0,0,0,0
1715916194371,0,0,0,0
1715916194385,0,0,0,0
1715916194410,0,0,0,0
1715916194428,0,0,0,0
1715916194445,0,0,0,0
1715916194457,0,0,0,0
1715916194470,0,0,0,0
1715916194492,0,0,0,0
1715916194506,0,0,0,0
1715916194516,0,0,0,0
1715916194544,0,0,0,0
1715916194580,0,0,0,0
1715916194613,0,0,0,0
1715916194636,0,0,0,0
1715916194667,0,0,0,0
1715916194682,0,0,0,0
1715916194714,0,0,0,0
1715916194732,0,0,0,0
1715916194748,0,0,0,0
1715916194765,0,0,0,0
1715916194783,0,0,0,0
1715916194802,0,0,0,0
1715916194822,0,0,0,0
1715916194841,0,0,0,0
1715916194868,0,0,0,0
1715916194878,0,0,0,0
1715916194906,0,0,0,0
1715916194927,0,0,0,0
1715916194944,0,0,0,0
1715916194962,0,0,0,0
1715916194980,0,0,0,0
1715916194995,0,0,0,0
1715916195010,0,0,0,0
1715916195023,0,0,0,0
1715916195039,0,0,0,0
1715916195056,0,0,0,0
1715916195080,0,0,0,0
1715916195091,0,0,0,0
1715916195112,0,0,0,0
1715916195129,0,0,0,0
1715916195144,0,0,0,0
1715916195159,0,0,0,0
1715916195172,0,0,0,0
1715916195189,0,0,0,0
1715916195202,0,0,0,0
1715916195216,0,0,0,0
1715916195231,0,0,0,0
1715916195252,0,0,0,0
1715916195272,0,0,0,0
1715916195306,0,0,0,0
1715916195320,0,0,0,0
1715916195354,0,0,0,0
1715916195372,0,0,0,0
1715916195389,0,0,0,0
1715916195413,0,0,0,0
1715916195432,0,0,0,0
1715916195444,0,0,0,0
1715916195465,0,0,0,0
1715916195485,0,0,0,0
1715916195504,0,0,0,0
1715916195515,0,0,0,0
1715916195539,0,0,0,0
1715916195553,0,0,0,0
1715916195565,0,0,0,0
1715916195576,0,0,0,0
1715916195593,0,0,0,0
1715916195615,0,0,0,0
1715916195626,0,0,0,0
1715916195640,0,0,0,0
1715916195658,0,0,0,0
1715916195671,0,0,0,0
1715916195688,0,0,0,0
1715916195706,0,0,0,0
1715916195721,0,0,0,0
1715916195752,0,0,0,0
1715916195776,0,0,0,0
1715916195785,0,0,0,0
1715916195807,0,0,0,0
1715916195821,0,0,0,0
1715916195833,0,0,0,0
1715916195845,0,0,0,0
1715916195862,0,0,0,0
1715916195872,0,0,0,0
1715916195899,0,0,0,0
1715916195929,0,0,0,0
1715916195944,0,0,0,0
1715916195984,0,0,0,0
1715916195999,0,0,0,0
1715916196031,0,0,0,0
1715916196051,0,0,0,0
1715916196064,0,0,0,0
1715916196077,0,0,0,0
1715916196090,0,0,0,0
1715916196118,0,0,0,0
1715916196134,0,0,0,0
1715916196144,0,0,0,0
1715916196172,0,0,0,0
1715916196186,0,0,0,0
1715916196197,0,0,0,0
1715916196213,0,0,0,0
1715916196226,0,0,0,0
1715916196238,0,0,0,0
1715916196249,0,0,0,0
1715916196263,0,0,0,0
1715916196283,0,0,0,0
1715916196301,0,0,0,0
1715916196321,0,0,0,0
1715916196339,0,0,0,0
1715916196351,0,0,0,0
1715916196379,0,0,0,0
1715916196388,0,0,0,0
1715916196413,0,0,0,0
1715916196426,0,0,0,0
1715916196436,0,0,0,0
1715916196456,0,0,0,0
1715916196465,0,0,0,0
1715916196481,0,0,0,0
1715916196494,0,0,0,0
1715916196514,0,0,0,0
1715916196527,0,0,0,0
1715916196565,0,0,0,0
1715916196578,0,0,0,0
1715916196593,0,0,0,0
1715916196609,0,0,0,0
1715916196622,0,0,0,0
1715916196634,0,0,0,0
1715916196647,0,0,0,0
1715916196657,0,0,0,0
1715916196672,0,0,0,0
1715916196687,0,0,0,0
1715916196702,0,0,0,0
1715916196725,0,0,0,0
1715916196744,0,0,0,0
1715916196779,0,0,0,0
1715916196793,0,0,0,0
1715916196809,0,0,0,0
1715916196820,0,0,0,0
1715916196844,0,0,0,0
1715916196878,0,0,0,0
1715916196901,0,0,0,0
1715916196916,0,0,0,0
1715916196930,0,0,0,0
1715916196943,0,0,0,0
1715916196963,0,0,0,0
1715916196993,0,0,0,0
1715916197006,0,0,0,0
1715916197017,0,0,0,0
1715916197033,0,0,0,0
1715916197046,0,0,0,0
1715916197059,0,0,0,0
1715916197080,0,0,0,0
1715916197096,0,0,0,0
1715916197133,0,0,0,0
1715916197160,0,0,0,0
1715916197179,0,0,0,0
1715916197200,0,0,0,0
1715916197211,0,0,0,0
1715916197230,0,0,0,0
1715916197257,0,0,0,0
