Timestamp,LeftRoll,LeftFootHeight,RightRoll,RightFootHeight
1715516511832,16.39548,0.1044384,15.89025,0.1013044
1715516511911,16.39542,0.104438,15.89028,0.1013045
1715516511977,16.39545,0.1044382,15.89025,0.1013044
1715516511982,16.39545,0.1044382,15.89025,0.1013044
1715516511986,16.39545,0.1044382,15.89025,0.1013044
1715516511990,16.39545,0.1044382,15.89025,0.1013044
1715516511998,16.39547,0.1044383,15.89022,0.1013042
1715516512035,16.3955,0.1044385,15.8902,0.101304
1715516512060,16.39554,0.1044387,15.89019,0.101304
1715516512074,16.39554,0.1044387,15.89019,0.101304
1715516512079,16.39554,0.1044387,15.89019,0.101304
1715516512086,16.39554,0.1044387,15.89019,0.101304
1715516512107,16.39547,0.1044383,15.89013,0.1013036
1715516512117,16.39547,0.1044383,15.89013,0.1013036
1715516512138,16.39546,0.1044382,15.89014,0.1013037
1715516512154,16.39545,0.1044382,15.89015,0.1013038
1715516512172,16.39545,0.1044381,15.89016,0.1013038
1715516512176,16.39545,0.1044381,15.89016,0.1013038
1715516512180,16.39545,0.1044381,15.89016,0.1013038
1715516512184,16.39545,0.1044381,15.89016,0.1013038
1715516512188,16.39545,0.1044381,15.89016,0.1013038
1715516512193,16.39545,0.1044381,15.89016,0.1013038
1715516512197,16.39545,0.1044381,15.89016,0.1013038
1715516512203,16.39545,0.1044381,15.89017,0.1013039
1715516512212,16.39544,0.1044381,15.8902,0.1013041
1715516512216,16.39544,0.1044381,15.8902,0.1013041
1715516512220,16.39544,0.1044381,15.8902,0.1013041
1715516512224,16.39544,0.1044381,15.8902,0.1013041
1715516512230,16.39545,0.1044382,15.8902,0.101304
1715516512233,16.39545,0.1044382,15.8902,0.101304
1715516512238,16.39545,0.1044382,15.8902,0.101304
1715516512243,16.39547,0.1044383,15.89021,0.1013041
1715516512247,16.39547,0.1044383,15.89021,0.1013041
1715516512251,16.39547,0.1044383,15.89021,0.1013041
1715516512256,16.39548,0.1044383,15.89022,0.1013042
1715516512261,16.39548,0.1044383,15.89022,0.1013042
1715516512266,16.39548,0.1044383,15.89022,0.1013042
1715516512271,16.39548,0.1044383,15.89022,0.1013042
1715516512274,16.39548,0.1044383,15.89022,0.1013042
1715516512280,16.39548,0.1044383,15.89022,0.1013042
1715516512284,16.39548,0.1044383,15.89022,0.1013042
1715516512288,16.39548,0.1044383,15.89022,0.1013042
1715516512293,16.39548,0.1044383,15.89022,0.1013042
1715516512298,16.39548,0.1044383,15.89022,0.1013042
1715516512303,16.39548,0.1044383,15.89022,0.1013042
1715516512308,16.39547,0.1044383,15.89026,0.1013044
1715516512312,16.39548,0.1044383,15.89027,0.1013044
1715516512316,16.39548,0.1044383,15.89027,0.1013044
1715516512321,16.39548,0.1044383,15.89027,0.1013044
1715516512325,16.39547,0.1044383,15.89028,0.1013045
1715516512330,16.39547,0.1044383,15.89028,0.1013045
1715516512334,16.39547,0.1044383,15.89028,0.1013045
1715516512338,16.39546,0.1044382,15.8903,0.1013046
1715516512343,16.39546,0.1044382,15.8903,0.1013046
1715516512347,16.39546,0.1044382,15.8903,0.1013046
1715516512350,16.39546,0.1044382,15.89031,0.1013047
1715516512355,16.39546,0.1044382,15.89031,0.1013047
1715516512360,16.39546,0.1044382,15.89032,0.1013048
1715516512363,16.39546,0.1044382,15.89032,0.1013048
1715516512368,16.39546,0.1044382,15.89032,0.1013048
1715516512373,16.39546,0.1044382,15.89032,0.1013048
1715516512379,16.39546,0.1044382,15.89032,0.1013048
1715516512383,16.39546,0.1044382,15.89032,0.1013048
1715516512386,16.39546,0.1044382,15.89032,0.1013048
1715516512392,16.39546,0.1044382,15.89032,0.1013048
1715516512397,16.39546,0.1044382,15.89032,0.1013048
1715516512400,16.39546,0.1044382,15.89032,0.1013048
1715516512404,16.39546,0.1044382,15.89032,0.1013048
1715516512412,16.39546,0.1044382,15.89041,0.1013053
1715516512417,16.39546,0.1044382,15.89041,0.1013053
1715516512421,16.39546,0.1044382,15.89041,0.1013053
1715516512426,16.39545,0.1044382,15.89041,0.1013053
1715516512430,16.39545,0.1044382,15.89041,0.1013053
1715516512435,16.39545,0.1044381,15.8904,0.1013053
1715516512439,16.39545,0.1044381,15.8904,0.1013053
1715516512443,16.39545,0.1044381,15.8904,0.1013053
1715516512449,16.39544,0.1044381,15.8904,0.1013053
1715516512454,16.39544,0.1044381,15.8904,0.1013053
1715516512459,16.39545,0.1044382,15.89039,0.1013052
1715516512464,16.39545,0.1044382,15.89039,0.1013052
1715516512469,16.39545,0.1044382,15.89039,0.1013052
1715516512473,16.39545,0.1044382,15.89039,0.1013052
1715516512478,16.39545,0.1044382,15.89039,0.1013052
1715516512483,16.39545,0.1044382,15.89039,0.1013052
1715516512488,16.39545,0.1044382,15.89039,0.1013052
1715516512493,16.39545,0.1044382,15.89039,0.1013052
1715516512498,16.39545,0.1044382,15.89039,0.1013052
1715516512502,16.39545,0.1044382,15.89039,0.1013052
1715516512506,16.39545,0.1044382,15.89039,0.1013052
1715516512510,16.39549,0.1044384,15.89038,0.1013051
1715516512514,16.39556,0.1044388,15.89044,0.1013055
1715516512519,16.39556,0.1044388,15.89044,0.1013055
1715516512524,16.39556,0.1044388,15.89044,0.1013055
1715516512530,16.39556,0.1044388,15.89044,0.1013055
1715516512534,16.39559,0.104439,15.89046,0.1013056
1715516512538,16.39562,0.1044392,15.89047,0.1013057
1715516512542,16.39562,0.1044392,15.89047,0.1013057
1715516512546,16.39562,0.1044392,15.89047,0.1013057
1715516512552,16.39564,0.1044393,15.89049,0.1013058
1715516512556,16.39564,0.1044393,15.89049,0.1013058
1715516512561,16.39564,0.1044393,15.89049,0.1013058
1715516512565,16.39564,0.1044393,15.8905,0.1013059
1715516512570,16.39564,0.1044393,15.8905,0.1013059
