Timestamp,LeftRoll,LeftFootHeight,RightRoll,RightFootHeight,CntFtAboveStep,CntFtStep
1715338279832,0,0,0,0,0,0
1715338279886,0,0,0,0,0,0
1715338279900,0,0,0,0,0,0
1715338279913,0,0,0,0,0,0
1715338279929,0,0,0,0,0,0
1715338279942,0,0,0,0,0,0
1715338279956,0,0,0,0,0,0
1715338279969,0,0,0,0,0,0
1715338279982,0,0,0,0,0,0
1715338279997,0,0,0,0,0,0
1715338280011,0,0,0,0,0,0
1715338280054,0,0,0,0,0,0
1715338280067,0,0,0,0,0,0
1715338280080,0,0,0,0,0,0
1715338280095,0,0,0,0,0,0
1715338280108,0,0,0,0,0,0
1715338280122,0,0,0,0,0,0
1715338280136,0,0,0,0,0,0
1715338280149,0,0,0,0,0,0
1715338280163,0,0,0,0,0,0
1715338280179,0,0,0,0,0,0
1715338280191,0,0,0,0,0,0
1715338280206,0,0,0,0,0,0
1715338280220,0,0,0,0,0,0
1715338280234,0,0,0,0,0,0
1715338280251,0,0,0,0,0,0
1715338280291,0,0,0,0,0,0
1715338280307,0,0,0,0,0,0
1715338280320,0,0,0,0,0,0
1715338280335,0,0,0,0,0,0
1715338280354,0,0,0,0,0,0
1715338280363,0,0,0,0,0,0
1715338280376,0,0,0,0,0,0
1715338280391,0,0,0,0,0,0
1715338280405,0,0,0,0,0,0
1715338280418,0,0,0,0,0,0
1715338280432,0,0,0,0,0,0
1715338280445,0,0,0,0,0,0
1715338280459,0,0,0,0,0,0
1715338280473,0,0,0,0,0,0
1715338280487,0,0,0,0,0,0
1715338280501,0,0,0,0,0,0
1715338280515,0,0,0,0,0,0
1715338280528,0,0,0,0,0,0
1715338280543,0,0,0,0,0,0
1715338280556,0,0,0,0,0,0
1715338280570,0,0,0,0,0,0
1715338280584,0,0,0,0,0,0
1715338280598,0,0,0,0,0,0
1715338280612,0,0,0,0,0,0
1715338280626,0,0,0,0,0,0
1715338280639,0,0,0,0,0,0
1715338280654,0,0,0,0,0,0
1715338280668,0,0,0,0,0,0
1715338280681,0,0,0,0,0,0
1715338280695,0,0,0,0,0,0
1715338280708,0,0,0,0,0,0
